frame,x,y,w,h,conf
499,515.00,224.00,20.00,32.00,0.75
500,507.00,225.00,19.00,29.00,0.77
501,498.00,225.00,21.00,30.00,0.77
502,472.00,226.00,34.00,42.00,0.80
503,456.00,226.00,33.00,40.00,0.76
504,442.00,224.00,21.00,32.00,0.76
505,422.00,221.00,19.00,26.00,0.72
506,392.00,225.00,24.00,34.00,0.77
507,351.00,223.00,29.00,37.00,0.81
508,319.00,222.00,31.00,39.00,0.84
509,295.00,224.00,29.00,38.00,0.87
510,257.00,226.00,28.00,35.00,0.81
511,237.00,226.00,29.00,36.00,0.81
512,221.00,225.00,30.00,37.00,0.85
513,210.00,226.00,33.00,43.00,0.86
514,206.00,226.00,31.00,39.00,0.86
515,211.00,228.00,32.00,40.00,0.85
516,220.00,226.00,30.00,37.00,0.86
517,231.00,227.00,30.00,39.00,0.88
518,253.00,227.00,29.00,37.00,0.83
519,282.00,229.00,31.00,39.00,0.81
520,306.00,228.00,29.00,37.00,0.81
521,338.00,226.00,24.00,32.00,0.78
522,369.00,226.00,26.00,34.00,0.81
523,392.00,227.00,31.00,38.00,0.84
524,434.00,225.00,21.00,31.00,0.78
525,458.00,229.00,32.00,38.00,0.80
526,476.00,229.00,32.00,39.00,0.81
527,495.00,230.00,29.00,38.00,0.82
528,506.00,229.00,23.00,33.00,0.81
529,507.00,229.00,23.00,33.00,0.82
530,499.00,230.00,28.00,37.00,0.80
531,487.00,229.00,29.00,39.00,0.83
532,460.00,230.00,30.00,38.00,0.82
533,427.00,228.00,22.00,32.00,0.81
534,390.00,229.00,25.00,34.00,0.68
535,338.00,229.00,30.00,39.00,0.83
536,293.00,228.00,32.00,41.00,0.85
537,258.00,228.00,32.00,41.00,0.85
538,213.00,227.00,32.00,41.00,0.86
539,179.00,229.00,34.00,42.00,0.87
540,130.00,230.00,34.00,42.00,0.88
541,86.00,229.00,35.00,42.00,0.84
542,59.00,228.00,35.00,41.00,0.88
543,42.00,228.00,34.00,41.00,0.88
544,40.00,229.00,35.00,43.00,0.87
545,51.00,229.00,33.00,40.00,0.88
546,68.00,231.00,35.00,42.00,0.88
547,97.00,230.00,35.00,42.00,0.85
548,133.00,230.00,33.00,40.00,0.83
549,168.00,229.00,32.00,39.00,0.85
550,207.00,231.00,30.00,38.00,0.76
551,268.00,231.00,30.00,38.00,0.83
552,320.00,231.00,29.00,38.00,0.81
553,374.00,230.00,27.00,37.00,0.76
554,422.00,230.00,32.00,40.00,0.75
555,467.00,230.00,30.00,38.00,0.75
556,500.00,231.00,24.00,34.00,0.82
558,522.00,227.00,20.00,27.00,0.68
561,514.00,227.00,20.00,33.00,0.76
562,496.00,225.00,23.00,33.00,0.76
563,472.00,226.00,32.00,39.00,0.81
564,458.00,225.00,28.00,36.00,0.82
565,434.00,221.00,22.00,31.00,0.76
566,412.00,224.00,29.00,36.00,0.77
567,393.00,223.00,23.00,33.00,0.79
568,367.00,220.00,31.00,38.00,0.83
569,347.00,217.00,32.00,34.00,0.73
570,336.00,218.00,31.00,37.00,0.80
571,329.00,219.00,25.00,34.00,0.84
572,328.00,223.00,30.00,38.00,0.81
573,336.00,222.00,31.00,38.00,0.80
574,349.00,221.00,29.00,36.00,0.80
575,376.00,224.00,24.00,35.00,0.78
576,403.00,225.00,31.00,39.00,0.79
577,441.00,224.00,26.00,35.00,0.81
578,478.00,221.00,25.00,31.00,0.77
583,513.00,220.00,36.00,43.00,0.75
584,499.00,218.00,34.00,39.00,0.76
585,480.00,217.00,30.00,36.00,0.78
